id,en,transcription,id_type,ru,add_dts
352,wrist,wrist,noun,запястье,2017-08-03 16:38:23
351,sequins,ˈsiːkwɪn,noun,блестки,2017-08-03 16:38:23
350,ledder,,noun,лестница,2017-08-03 16:38:23
349,wicked,,adj,злой;безнравственный,2017-08-03 16:38:23
348,cry out,,phrasal verb,вскрикивать,2017-08-03 16:38:23
347,slippery,,adj,скользкий,2017-08-03 16:38:23
346,obsession,,noun,навязчивая идея,2017-08-03 16:38:22
345,take over,,phrasal verb,вступать во владение;перенимать,2017-08-03 16:38:22
344,court,,noun,суд;площадка,2017-08-03 16:38:22
343,investigation,,noun,расследование,2017-08-03 16:38:22
342,demand,,noun,требования,2017-08-03 16:38:22
341,cashier,,noun,кассир,2017-08-03 16:38:22
340,fraud,,noun,мошенничество;обман,2017-08-03 16:38:22
339,pickpocket,,noun,карманник,2017-08-03 16:38:22
338,revolve,,verb,вращаться,2017-08-03 16:38:22
337,coal,,noun,уголь,2017-08-03 16:38:22
336,carry,,verb,нести,2017-08-03 16:38:22
335,mop,,noun,швабра,2017-08-03 16:38:22
334,kettle,,noun,чайник,2017-08-03 16:38:22
333,stain,steɪn,noun,пятно,2017-08-03 16:38:22
332,stove,,noun,плита;кухонная плита,2017-08-03 16:38:22
331,chest of drawers,,noun,комод,2017-08-03 16:38:22
330,curtains,kɜːtns,noun,шторы,2017-08-03 16:38:22
329,intricate,ɪntrɪkət,adj,запутанный,2017-08-03 16:38:22
328,padding,ˈpædɪŋ,noun,набивка,2017-08-03 16:38:22
327,rack,ræk,noun,вешалка,2017-08-03 16:38:22
326,persuade,pəˈsweɪd,verb,уговаривать,2017-08-03 16:38:22
325,smuggling,,noun,контрабанда,2017-08-03 16:38:22
323,burglary,ˈbɜːɡləri,noun,кража со взломом,2017-08-03 16:38:22
322,bribery,ˈbraɪbəri,noun,взятка,2017-08-03 16:38:22
321,blackmail,,noun,шантаж,2017-08-03 16:38:22
320,corporal punishment,ˌkɔːpərəl ˈpʌnɪʃmənt,noun,телесное наказание,2017-08-03 16:38:22
319,fine,,noun,штраф,2017-08-03 16:38:22
317,suspend,,verb,приостановить,2017-08-03 16:38:22
316,sentence,,noun,приговор,2017-08-03 16:38:22
314,commit,,verb,совершать,2017-08-03 16:38:22
313,community service,,noun,общественная работа,2017-08-03 16:38:22
311,curvature,kɜːvətʃə(r),noun,икривление;кривизна,2017-08-03 16:38:22
310,know the ropes,,verb,хорошо ориентироваться,2017-08-03 16:38:22
309,vacation,vəˈkeɪʃn,noun,отпуск,2017-08-03 16:38:22
308,jet fighter,,noun,истребитель,2017-08-03 16:38:22
307,thrill,θrɪl,noun,трепет;дрож,2017-08-03 16:38:22
306,engage,ɪnˈɡeɪdʒ,verb,вовлекать;заниматься,2017-08-03 16:38:22
305,vast,vɑːst,adj,огромный,2017-08-03 16:38:22
304,nourish,nʌrɪʃ,verb,удобрять,2017-08-03 16:38:22
303,prejudice,predʒudɪs,noun,предубеждение,2017-08-03 16:38:22
302,widespread,waɪdspred,adj,широко распространенный,2017-08-03 16:38:22
301,ambiguity,æmbɪˈɡjuːəti,noun,неоднозначность,2017-08-03 16:38:22
300,arbitrary,ˈɑːbɪtrəri,adj,произвольный,2017-08-03 16:38:22
299,sanity,sænəti,noun,здравомыслие;вменяемость,2017-08-03 16:38:22
298,petrol,,noun,бензин,2017-08-03 16:38:22
297,intention,ɪnˈtenʃn,noun,намерение,2017-08-03 16:38:22
296,arrange,,verb,организовывать;договориться,2017-08-03 16:38:22
295,pretend,prɪˈtend,verb,притворяться;делать вид,2017-08-03 16:38:22
294,cupboard,,noun,шкаф,2017-08-03 16:38:22
293,permutation,ˌpɜːmjuˈteɪʃn,noun,перестановка,2017-08-03 16:38:22
292,unfair,,adj,недобросовестный;нечестный,2017-08-03 16:38:22
291,state supported,,phrasal verb,поддерживаемый государством,2017-08-03 16:38:22
290,conduct,kənˈdʌkt,verb,проводить,2017-08-03 16:38:22
289,accusation,ˌækjuˈzeɪʃn,noun,обвинение,2017-08-03 16:38:22
288,earthquake,землетресение;потрясение,noun,ɜːθkweɪk,2017-08-03 16:38:22
287,insect,ˈɪnsekt,noun,насекомое,2017-08-03 16:38:22
286,prune,pruːn,adj,чернослив,2017-08-03 16:38:22
285,shrivelled,ˈʃrɪvld,adj,скрюченный,2017-08-03 16:38:22
284,wrinkled,rɪŋkld,adj,сморщенный,2017-08-03 16:38:22
283,nodding,,verb,кивание,2017-08-03 16:38:22
282,hesitate,ˈhezɪteɪt,verb,колебаться;стесняться,2017-08-03 16:38:22
281,crave,kreɪv,verb,жаждать,2017-08-03 16:38:22
280,attendant;servant,,noun,служитель,2017-08-03 16:38:22
279,customs,ˈkʌstəmz,noun,таможня,2017-08-03 16:38:22
278,crew,kruː,noun,экипаж,2017-08-03 16:38:22
277,spade,speɪd,noun,лопата,2017-08-03 16:38:22
276,fascinate,ˈfæsɪneɪt,verb,очаровывать,2017-08-03 16:38:22
275,narrow,,adj,узкий,2017-08-03 16:38:22
274,bonfire,,noun,костер,2017-08-03 16:38:22
273,hang gliding,,noun,дельтапланеризм,2017-08-03 16:38:22
272,wound,wuːnd,verb,рана,2017-08-03 16:38:22
271,bother,ˈbɒðə(r),verb,беспокоить,2017-08-03 16:38:22
270,aisle,aɪl,noun,проход;коридор,2017-08-03 16:38:22
269,sunscreen,,noun,солнцезащитный крем,2017-08-03 16:38:22
268,band aid;plaster,,noun,лейкопластырь,2017-08-03 16:38:22
267,drowsiness,ˈdraʊzinəs,noun,сонливость,2017-08-03 16:38:22
266,decongestant,,noun,противозастойное средство,2017-08-03 16:38:22
265,prescription,prɪˈskrɪpʃn,noun,рецепт,2017-08-03 16:38:22
264,injury,ˈɪndʒəri,noun,травма,2017-08-03 16:38:22
263,fracture,ˈfræktʃə(r),noun,перелом,2017-08-03 16:38:22
262,surgeon,ˈsɜːdʒən,noun,хирург,2017-08-03 16:38:22
261,shiver,ˈʃɪvə(r),verb,дрожать;дрохать от холода,2017-08-03 16:38:22
260,tremble,ˈtrembl,verb,дрожать;дрожать от нервов,2017-08-03 16:38:22
259,sweat,swet,verb,потеть,2017-08-03 16:38:22
258,blush,blʌʃ,verb,краснеть,2017-08-03 16:38:22
257,frown,fraʊn,verb,хмуриться,2017-08-03 16:38:22
256,wink,wɪŋk,verb,подмигивать,2017-08-03 16:38:22
255,swallow,ˈswɒləʊ,verb,глотать,2017-08-03 16:38:22
254,rumble,ˈrʌmbl,verb,грохотать;урчать,2017-08-03 16:38:22
253,chew,tʃuː,verb,жевать,2017-08-03 16:38:22
252,snore,snɔː(r),verb,хвапеть,2017-08-03 16:38:22
251,hiccup;hiccough,ˈhɪkʌp,verb,икать;икота,2017-08-03 16:38:22
250,sigh,saɪ,verb,вздох,2017-08-03 16:38:22
249,sneeze,sniːz,verb,чихать,2017-08-03 16:38:22
248,yawn,jɔːn,verb,зевать,2017-08-03 16:38:22
247,fencing,ˈfensɪŋ,noun,фехтование,2017-08-03 16:38:22
246,serenity,səˈrenəti,noun,безмятежность;спокойствие,2017-08-03 16:38:21
245,gratitude,ˈɡrætɪtjuːd,noun,благодарность,2017-08-03 16:38:21
244,asparagus,əˈspærəɡəs,noun,спаржа,2017-08-03 16:38:21
243,cranberry,ˈkrænbəri,noun,клюква,2017-08-03 16:38:21
242,weightlifting,,noun,тяжелая атлетика,2017-08-03 16:38:21
241,martial arts,ˌmɑːʃl ˈɑːts,noun,боевые исскуства,2017-08-03 16:38:21
240,cauliflower,kɒliflaʊə(r),noun,цветная капуста,2017-08-03 16:38:21
239,rowing,,noun,гребля,2017-08-03 16:38:21
238,archery,ˈɑːtʃəri,noun,срельба из лука,2017-08-03 16:38:21
237,amuse,,verb,забалять,2017-08-03 16:38:21
236,awe,ɔː,noun,страх;трепер;благоговение,2017-08-03 16:38:21
235,joy,,noun,радость,2017-08-03 16:38:21
234,pale,peɪl,adj,бледный,2017-08-03 16:38:21
233,remedy,ˈremədi,noun,средство;лекарство,2017-08-03 16:38:21
232,runny nose,,noun,насморк,2017-08-03 16:38:21
231,nausea,ˈnɔːziə,noun,тошнота,2017-08-03 16:38:21
230,throat,θrəʊt,noun,горло,2017-08-03 16:38:21
229,sore,sɔː(r),noun,язва;болячка,2017-08-03 16:38:21
228,rash,ræʃ,adj,необдуманный;безрассудный,2017-08-03 16:38:21
227,nasal congestion,kənˈdʒestʃən,noun,заложенность носа,2017-08-03 16:38:21
226,dizziness,ˈdɪzinəs,noun,головокружение,2017-08-03 16:38:21
225,ache,eɪk,verb,боль,2017-08-03 16:38:21
224,vomit;throw up,ˈvɒmɪt,verb,рвота,2017-08-03 16:38:21
223,cough,kɒf,noun,кашель,2017-08-03 16:38:21
222,toothache,ˈtuːθeɪk,noun,зубная боль,2017-08-03 16:38:21
221,wise,waɪz,adj,мудрый,2017-08-03 16:38:21
220,sweep,,verb,подметать,2017-08-03 16:38:21
219,predict,prɪˈdɪkt,verb,прогнозировать;предсказывать,2017-08-03 16:38:21
218,wisdom,,noun,мудрость,2017-08-03 16:38:21
217,inhabitant,ɪnˈhæbɪtənt,noun,житель;обитатель,2017-08-03 16:38:21
216,encourage,ɪnˈkʌrɪdʒ,verb,поощрать,2017-08-03 16:38:21
215,noodles,ˈnuːdl,noun,лапша,2017-08-03 16:38:21
214,still water,,noun,негазированная вода,2017-08-03 16:38:21
213,sparkling water,,noun,негазированная вода,2017-08-03 16:38:21
212,beverage,,noun,напиток,2017-08-03 16:38:21
211,cutlery,ˈkʌtləri,noun,столовые приборы,2017-08-03 16:38:21
210,corkscrew,ˈkɔːkskruː,noun,штопор,2017-08-03 16:38:21
209,screw,skruː,noun,винт,2017-08-03 16:38:21
208,bowl,bəʊl,noun,миска,2017-08-03 16:38:21
207,vinegar,ˈvɪnɪɡə(r),noun,уксус,2017-08-03 16:38:21
206,mutton,ˈmʌtn,noun,баранина,2017-08-03 16:38:21
205,mustard,mʌstəd,noun,горчица,2017-08-03 16:38:21
204,beetroot,ˈbiːtruːt,noun,свекла,2017-08-03 16:38:21
203,misery guts,,phrasal verb,человек который жалуется;постоянно недовольный,2017-08-03 16:38:21
202,broth,brɒθ,noun,бульон,2017-08-03 16:38:21
201,canteen,kænˈtiːn,noun,столовая,2017-08-03 16:38:21
200,famished;ravenous,ˈfæmɪʃt; ˈrævənəs,adj,голодный,2017-08-03 16:38:21
199,sour,ˈsaʊə(r),adj,кислый,2017-08-03 16:38:21
198,greasy,ˈɡriːsi,adj,жирный;жирная еда,2017-08-03 16:38:21
197,fussy,,adj,привередливый,2017-08-03 16:38:21
196,bland,,adj,мягкий;безвкусный,2017-08-03 16:38:21
195,cuisine,kwɪˈziːn,noun,кухня;стиль приготовления,2017-08-03 16:38:21
194,adventurous,ədˈventʃərəs,adj,предприимчивый;авантюрный,2017-08-03 16:38:21
193,naughty,ˈnɔːti,adj,непослушный;капризный;вредный,2017-08-03 16:38:21
192,suitable,ˈsuːtəbl,adj,подходящий,2017-08-03 16:38:21
191,mug,,noun,кружка,2017-08-03 16:38:21
190,keep in touch,,phrasal verb,оставаться на связи,2017-08-03 16:38:21
189,crowded,ˈkraʊdɪd,adj,переполненный;многолюдный,2017-08-03 16:38:21
188,homesick,ˈhəʊmsɪk,adj,тоскующий по дому,2017-08-03 16:38:21
187,representative,ˌreprɪˈzentətɪv,noun,представитель;делегат,2017-08-03 16:38:21
186,fluent,ˈfluːənt,adj,беглый;плавный;текучий,2017-08-03 16:38:21
185,vernacular,vəˈnækjələ(r),adj,общеупотребительный;народный,2017-08-03 16:38:21
184,indigenous,ɪnˈdɪdʒənəs,adj,местный;туземный,2017-08-03 16:38:21
183,crusade,kruːˈseɪd,noun,крестовый поход,2017-08-03 16:38:21
182,royal,rɔɪəl,adj,королевский,2017-08-03 16:38:21
181,tribe,traɪb,noun,племя,2017-08-03 16:38:21
180,among;amongst,əˈmʌŋ,preposition,среди,2017-08-03 16:38:21
179,suffer,ˈsʌfə(r),verb,страдать,2017-08-03 16:38:21
178,distress,dɪˈstres,noun,бедствие,2017-08-03 16:38:21
177,scramble,ˈskræmbl,verb,взбивать,2017-08-03 16:38:21
176,mash,,verb,разминать;раздавливать,2017-08-03 16:38:21
175,stingy,ˈstɪndʒi,adj,скупой,2017-08-03 16:38:21
174,cheapskate,ˈtʃiːpskeɪt,noun,скряга,2017-08-03 16:38:21
173,confident,ˈkɒnfɪdənt,adj,уверенный в себе;самоуверенный,2017-08-03 16:38:21
172,trustworthy,ˈtrʌstwɜːði,adj,нажедный;заслуживающий доверия,2017-08-03 16:38:21
171,reliable,rɪˈlaɪəbl,adj,надежный,2017-08-03 16:38:21
170,dim-witted;blunt,,adj,неумный;тупой,2017-08-03 16:38:21
169,certain,ˈsɜːtn,adj,определенный,2017-08-03 16:38:21
168,obvious,ˈɒbviəs,adj,очевидынй,2017-08-03 16:38:21
167,coincidence,kəʊˈɪnsɪdəns,noun,совпадение,2017-08-03 16:38:21
166,come across,,phrasal verb,сталкиваться,2017-08-03 16:38:21
165,notion,ˈnəʊʃn,noun,понятие,2017-08-03 16:38:21
164,influential,ˌɪnfluˈenʃl,adj,влиятельный,2017-08-03 16:38:21
163,humidity,hjuːˈmɪdəti,noun,влажность,2017-08-03 16:38:21
162,bloom,bluːm,noun,цветение,2017-08-03 16:38:21
161,leisure,ˈleʒə(r),noun,досуг,2017-08-03 16:38:21
160,snorkeling,ˈsnɔːkl,noun,подводное плавание,2017-08-03 16:38:21
159,lightning,ˈlaɪtnɪŋ,noun,молния,2017-08-03 16:38:21
158,boil,bɔɪl,verb,кипеть,2017-08-03 16:38:21
157,foggy,ˈfɒɡi,adj,туманный,2017-08-03 16:38:21
156,fog,,noun,туман,2017-08-03 16:38:21
155,wheelchair,,noun,инвалидная коляска,2017-08-03 16:38:21
154,vanity bag,ˈvænəti,noun,дамская сумочка,2017-08-03 16:38:21
153,enquiry,ˈɪnkwəri,noun,запрос,2017-08-03 16:38:21
152,maid,meɪd,noun,горничная,2017-08-03 16:38:21
151,lounge,laʊndʒ,noun,гостинная;хол;зал,2017-08-03 16:38:21
150,fairly,ˈfeəli,adverb,довольно;достаточно,2017-08-03 16:38:21
149,facilities,,noun,оборудование;удобства,2017-08-03 16:38:21
148,disabled,,noun,инвалид,2017-08-03 16:38:21
147,bunk bed,,noun,двухъярусная кровать,2017-08-03 16:38:20
146,dormitory,ˈdɔːmətri,noun,общежитие,2017-08-03 16:38:20
145,campsite,ˈkæmpsaɪt,noun,кемпинг,2017-08-03 16:38:20
144,suite,swiːt,noun,номер люкс,2017-08-03 16:38:20
143,guesthouse;boarding house,,noun,пансионат,2017-08-03 16:38:20
142,accommodation,əˌkɑːməˈdeɪʃn,noun,жилье,2017-08-03 16:38:20
141,preposition,ˌprepəˈzɪʃn,noun,предлог,2017-08-03 16:38:20
140,sightseeing,,phrasal verb,осмотр достопримечательностей,2017-08-03 16:38:20
139,think over,,phrasal verb,обдумать,2017-08-03 16:38:20
138,the view from up,,noun,вид сверху,2017-08-03 16:38:20
137,suspension bridge,,noun,подвесной мост,2017-08-03 16:38:20
136,rely on,,phrasal verb,полагаться на;доверять,2017-08-03 16:38:20
135,properly,ˈprɒpəli,adj,должным образом,2017-08-03 16:38:20
134,insurance,ɪnˈʃʊərəns,noun,страхование,2017-08-03 16:38:20
133,crown jewels,,noun,королевские драгоценности,2017-08-03 16:38:20
132,admire,ədˈmaɪə(r),verb,восхищаться;любоваться,2017-08-03 16:38:20
131,subway,,noun,метро,2017-08-03 16:38:20
130,ferry,,noun,паром,2017-08-03 16:38:20
129,double decker bus,,noun,двухэтажный автобус,2017-08-03 16:38:20
128,afford,əˈfɔːd,verb,позволить себе,2017-08-03 16:38:20
127,housewarming,,verb,новоселье,2017-08-03 16:38:20
126,irritate,ˈɪrɪteɪt,verb,раздражать,2017-08-03 16:38:20
125,scratch a living,,noun,мало зарабатывать;денег хватает только на проживание,2017-08-03 16:38:20
124,barely,ˈbeəli,adverb,едва,2017-08-03 16:38:20
123,make ends meet,,phrasal verb,сводить концы с концами,2017-08-03 16:38:20
122,well-paid,,adj,хорошо оплачиваемая,2017-08-03 16:38:20
121,pay rise,,verb,увеличение зарплаты,2017-08-03 16:38:20
120,owe,əʊ,verb,задолжать;быть должным,2017-08-03 16:38:20
119,down payment,,noun,первоначальный взнос,2017-08-03 16:38:20
118,earn money,ɜːn,verb,зарабатывать деньги,2017-08-03 16:38:20
117,premature,ˈpremətʃə(r),adj,преждевременный,2017-08-03 16:38:20
116,involved,ɪnˈvɒlvd,adj,вовлеченный,2017-08-03 16:38:20
115,stomach,ˈstʌmək,noun,желудок,2017-08-03 16:38:20
114,belly,ˈbeli,noun,живот,2017-08-03 16:38:20
113,dishwasher,,noun,посудомойка,2017-08-03 16:38:20
112,messy;untidy,ˈmesi,adj,неопрятный,2017-08-03 16:38:20
111,tidy,ˈtaɪdi,adj,аккуратный;опрятный,2017-08-03 16:38:20
110,cutting-edge,ˌkʌtɪŋ ˈedʒ,adj,передовой;современный,2017-08-03 16:38:20
109,shabby;threadbare,ˈʃæbi,adj,потертый,2017-08-03 16:38:20
108,plumber,ˈplʌmə(r),noun,водопроводчик,2017-08-03 16:38:20
107,housemate,ˈhaʊsmeɪt,noun,сосед по квартире,2017-08-03 16:38:20
106,flatmate,flætmeɪt,noun,сосед,2017-08-03 16:38:20
105,dilapidated,dɪˈlæpɪdeɪtɪd,adj,полуразрушенный,2017-08-03 16:38:20
104,cluttered,ˈklʌtəd,adj,загроможден,2017-08-03 16:38:20
103,landlord,ˈlændlɔːd,noun,арендодатель,2017-08-03 16:38:20
102,storey,ˈstɔːri,noun,этаж;ярус,2017-08-03 16:38:20
101,picturesque,ˌpɪktʃəˈresk,adj,колоритный;живописный,2017-08-03 16:38:20
100,spacious,ˈspeɪʃəs,adj,просторный,2017-08-03 16:38:20
99,bargain,ˈbɑːɡən,noun,сделка,2017-08-03 16:38:20
98,neighbourhood,ˈneɪbəhʊd,noun,окрестность;район,2017-08-03 16:38:20
97,property,ˈprɒpəti,noun,имущество;свойство,2017-08-03 16:38:20
96,convenient,kənˈviːniənt,adj,удобный,2017-08-03 16:38:20
95,hustle and bustle,,noun,шум и суета,2017-08-03 16:38:20
94,cosy;cozy,ˈkəʊzi,adj,уютный,2017-08-03 16:38:20
93,refurbish,ˌriːˈfɜːbɪʃ,verb,обновлять,2017-08-03 16:38:20
92,suburb,ˈsʌbɜːb,noun,пригород,2017-08-03 16:38:20
91,baking powder,ˈbeɪkɪŋ paʊdə(r),noun,разрыхлитель,2017-08-03 16:38:20
90,flour,ˈflaʊə(r),noun,мука,2017-08-03 16:38:20
89,melt,melt,verb,плавить,2017-08-03 16:38:20
88,stir,stɜː(r),verb,перемешивать,2017-08-03 16:38:20
87,grease,ɡriːs,verb,смазывать,2017-08-03 16:38:20
86,heat,hiːt,verb,нагреть,2017-08-03 16:38:20
85,form,fɔːm,verb,сформировать;образовать,2017-08-03 16:38:20
84,enroll,ɪnˈrəʊl,verb,зачислять;записываться,2017-08-03 16:38:20
83,graduation,ˌɡrædʒuˈeɪʃn,noun,градация;окончание учебного заведения,2017-08-03 16:38:20
82,pastry,ˈpeɪstri,noun,кондитерские изделия,2017-08-03 16:38:20
81,sour cream,saʊə ˈkriːm,noun,сметана,2017-08-03 16:38:20
80,dairy,ˈdeəri,noun,молочные продукты,2017-08-03 16:38:20
79,goose,ɡuːs,noun,гусь,2017-08-03 16:38:20
78,turkey,ˈtɜːki,noun,инлюк;индейка,2017-08-03 16:38:20
77,poultry,poʊltri,noun,домашнаяя птица,2017-08-03 16:38:20
76,peach,piːtʃ,noun,персик,2017-08-03 16:38:20
75,pear,peə(r),noun,груша,2017-08-03 16:38:20
74,bagel,ˈbeɪɡl,noun,бублик;рогалик,2017-08-03 16:38:20
73,croissant,krəˈsɑːnt,noun,круассан,2017-08-03 16:38:20
72,eel,iːl,noun,угорь,2017-08-03 16:38:20
71,cod,kɒd,noun,треска,2017-08-03 16:38:20
70,trout,traʊt,noun,форель,2017-08-03 16:38:20
69,salmon,ˈsæmən,noun,лосось,2017-08-03 16:38:20
68,mussels,ˈmʌsls,noun,мидии,2017-08-03 16:38:20
67,oyster,ˈɔɪstə(r),noun,устрица,2017-08-03 16:38:20
66,prawn,prɔːn,noun,креветка;креветка (амер),2017-08-03 16:38:20
65,shrimp,ʃrɪmp,noun,креветка;креветка (агл),2017-08-03 16:38:20
64,bacon,ˈbeɪkən,noun,бекон,2017-08-03 16:38:20
63,ham,hæm,noun,ветчина,2017-08-03 16:38:20
62,beef,biːf,noun,говядина,2017-08-03 16:38:20
61,lamb,læm,noun,ягненок,2017-08-03 16:38:20
60,veal,viːl,noun,телятина,2017-08-03 16:38:20
59,pork,pɔːk,noun,свинина,2017-08-03 16:38:20
58,pumpkin,ˈpʌmpkɪn,noun,тыква,2017-08-03 16:38:20
57,cabbage,ˈkæbɪdʒ,noun,капуста;качанная капуста,2017-08-03 16:38:20
56,carrot,ˈkærət,noun,морковь,2017-08-03 16:38:20
55,buckwheat,ˈbʌkwiːt,noun,гречка,2017-08-03 16:38:20
54,oats,əʊts,noun,овес,2017-08-03 16:38:20
53,wheat,wiːt,noun,пшеница,2017-08-03 16:38:20
52,cereals,ˈsɪəriəls,noun,злаки;хлопья,2017-08-03 16:38:20
51,curry,ˈkʌri,noun,карри,2017-08-03 16:38:20
50,garlic,ˈɡɑːlɪk,noun,чеснок,2017-08-03 16:38:20
49,fennel,ˈfenl,noun,укроп,2017-08-03 16:38:20
48,bay leaf,ˈbeɪ liːf,noun,лавровый лист,2017-08-03 16:38:20
47,saffron,ˈsæfrən,noun,шафран,2017-08-03 16:38:20
46,clove,kləʊvnoun,,гвоздика,2017-08-03 16:38:20
45,cinnamon,ˈsɪnəmən,noun,корица,2017-08-03 16:38:20
44,leek,liːk,noun,лук;порей,2017-08-03 16:38:20
43,lettuce,ˈletɪs,noun,салат;латук,2017-08-03 16:38:20
42,parsley,ˈpɑːsli,noun,петрушка,2017-08-03 16:38:20
41,thyme,taɪm,noun,тимьян,2017-08-03 16:38:20
40,herbs,hɜːbs,noun,травы,2017-08-03 16:38:20
39,complain,kəmˈpleɪn,verb,жаловаться,2017-08-03 16:38:20
38,fiance,fiˈɒnseɪ,noun,жених,2017-08-03 16:38:20
37,maltreat,mælˈtriːt,verb,плохо обращаться;дурно обращаться;помыкать,2017-08-03 16:38:19
36,inhumane,ɪnhjuːˈmeɪn,verb,негуманный,2017-08-03 16:38:19
35,humiliate,hjuːˈmɪlieɪt,verb,унижать,2017-08-03 16:38:19
34,quiet,ˈkwaɪət,,тихий,2017-08-03 16:38:19
33,quite,kwaɪt,,вполне;довольно,2017-08-03 16:38:19
32,lend,,,давать в займы,2017-08-03 16:38:19
31,borrow,,,занимать;брать в долг,2017-08-03 16:38:19
30,upset,,,расстройство;быть расстроенным,2017-08-03 16:38:19
29,run errands,,,бегать на побегушках;на побегушках;выполнять поручения,2017-08-03 16:38:19
28,give up,,,бросить;бросить (что либо),2017-08-03 16:38:19
27,determined,dɪˈtɜːmɪnd,adj,определенный;решительный,2017-08-03 16:38:19
26,selfish,ˈselfɪʃ,adj,эгоистичный,2017-08-03 16:38:19
25,irresponsible,ˌɪrɪˈspɒnsəbl,adj,безответственный,2017-08-03 16:38:19
24,sensible,ˈsensəbl,adj,здравомыслящий,2017-08-03 16:38:19
23,scuba diving,,,подводное плавание с аквалангом,2017-08-03 16:38:19
22,aboard,əˈbɔːd,adv,на борту,2017-08-03 16:38:19
